sex,age,hours,inctot
2,28,30,20500
1,28,45,27000
2,29,30,7800
1,29,80,50000
2,29,50,24400
2,29,0,0
1,29,60,35000
2,29,0,5500
1,29,45,32000
1,29,40,27000
2,29,40,18000
1,29,40,10000
1,29,80,43000
2,29,40,10000
1,29,0,0
2,29,45,9800
2,29,40,2800
2,29,0,0
1,29,40,49000
2,29,40,24000
2,29,8,10000
2,29,40,9000
2,29,20,2400
2,29,35,12600
2,29,20,18100
2,29,50,82050
1,29,55,45000
2,29,40,34000
1,29,65,23900
2,29,55,63000
1,29,14,16100
2,29,48,37000
2,29,40,40000
1,29,40,35000
1,29,0,0
1,29,40,35000
2,29,0,9200
1,29,0,0
1,29,60,68000
2,29,0,0
2,29,40,35420
2,29,50,35000
1,29,0,0
2,29,40,15150
1,29,45,7500
2,29,44,34700
2,29,40,21500
1,29,40,11000
2,29,40,7000
1,29,40,16000
2,29,20,10400
1,29,50,24000
1,29,0,0
2,29,20,10000
1,29,40,8000
1,29,40,40000
1,29,60,36500
2,29,0,0
1,29,0,6000
2,29,20,150
2,29,24,12000
1,29,37,15800
1,30,56,25600
2,30,40,51000
1,30,35,15000
2,30,40,11000
2,30,36,14400
1,30,40,17000
2,30,50,50000
2,30,0,12000
2,30,50,19000
2,30,40,6000
2,30,40,36950
1,30,25,10000
2,30,40,38000
1,30,40,29500
2,30,0,6100
1,30,0,3140
2,30,20,42000
2,30,40,17390
2,30,45,27840
1,30,0,6100
2,30,40,28000
1,30,40,15000
2,30,30,10200
1,30,40,100080
2,30,40,32000
1,30,70,120000
2,30,25,40000
2,30,40,20000
1,30,0,0
1,30,0,0
1,30,0,1080
1,30,60,30500
1,30,60,32000
1,30,48,31200
1,30,0,6000
1,30,45,37300
2,30,48,48200
2,30,40,26210
2,30,40,18000
2,30,6,4000
2,30,40,10000
2,30,36,10800
1,30,40,30000
1,30,55,2000
1,30,40,30000
2,30,0,0
1,30,40,25300
1,30,40,20000
2,30,45,37000
2,30,40,23000
1,30,40,23000
1,30,60,40000
1,30,40,27700
1,30,60,33000
1,30,40,45000
2,30,40,43600
2,30,0,0
1,30,55,15400
2,30,40,6500
1,30,40,17700
2,30,45,30150
2,30,40,34600
1,30,40,50000
2,30,40,32000
2,31,0,0
2,31,40,13000
2,31,40,23000
1,31,40,2000
1,31,40,18000
1,31,0,12300
2,31,40,28000
2,31,10,22000
1,31,50,30000
2,31,40,15000
2,31,60,16700
1,31,0,0
2,31,47,53390
1,31,40,52000
1,31,0,5100
1,31,40,31000
2,31,40,33100
1,31,40,20000
1,31,40,25130
1,31,44,26200
1,31,60,24500
2,31,50,16000
2,31,0,0
2,31,40,24000
1,31,40,45000
1,31,60,40000
2,31,0,0
1,31,50,86500
1,31,40,24000
1,31,45,27300
2,31,40,16600
1,31,0,0
1,31,45,25000
2,31,40,11000
1,31,40,73000
1,31,45,68200
2,31,45,24700
1,31,60,20000
1,31,40,18000
1,31,39,60050
1,31,40,18000
2,31,36,42000
2,31,40,25200
1,31,0,0
2,31,47,56800
1,31,50,40000
2,31,0,0
1,31,40,22000
1,31,38,55000
1,31,40,20000
1,31,60,8000
2,31,40,24400
2,31,40,25000
1,31,0,0
1,31,40,10300
2,31,45,29000
2,31,40,15000
2,31,42,60420
2,31,40,24000
1,31,60,20000
1,31,40,25400
1,31,40,48000
2,31,0,0
2,31,50,42600
1,31,40,24000
2,31,0,0
2,31,40,33200
2,31,24,11000
1,31,40,25000
1,31,40,12000
2,31,0,0
1,31,50,19000
2,31,40,4400
1,31,47,45150
2,31,43,22100
1,31,45,35000
1,31,55,48000
1,31,60,38000
1,31,30,11000
1,31,45,40000
2,31,50,70000
1,31,40,36000
2,31,40,22000
2,31,40,13020
2,32,40,70100
2,32,30,12000
2,32,40,19000
1,32,10,10000
1,32,55,40000
2,32,0,0
2,32,38,24000
1,32,50,18500
2,32,36,33000
2,32,20,22000
1,32,0,0
2,32,45,28300
2,32,40,27000
2,32,40,23000
2,32,5,270
1,32,40,35000
2,32,40,35000
2,32,40,17000
2,32,45,17000
1,32,40,32500
1,32,60,46000
1,32,40,30000
1,32,50,15000
2,32,0,2600
2,32,40,35000
1,32,60,28000
2,32,40,39060
1,32,45,176000
2,32,0,9000
2,32,40,22220
2,32,50,42600
2,32,0,0
2,32,40,39000
2,32,40,43000
1,32,40,32700
1,32,50,30000
1,32,60,20050
2,32,0,0
1,32,30,12000
1,32,52,40000
1,32,40,21300
2,32,40,5000
2,32,40,800
2,32,40,15300
1,32,40,40400
1,32,40,10000
2,32,40,18000
1,32,40,10000
1,32,45,50000
1,32,55,70000
1,32,95,29060
1,32,50,30000
2,32,55,2900
1,32,45,29000
1,32,60,50000
1,32,55,103000
2,32,40,8000
1,32,40,94000
2,32,40,24000
1,32,40,34000
1,32,65,27000
2,32,40,50000
1,32,40,29100
2,32,0,0
2,32,0,0
1,32,0,7900
2,32,80,31730
1,32,30,10800
2,32,70,32000
1,32,45,40000
2,33,40,8000
1,33,60,28000
1,33,50,115000
1,33,40,39000
1,33,40,52000
2,33,20,12000
1,33,40,18000
2,33,50,61000
1,33,55,21900
1,33,52,36500
1,33,60,32000
2,33,46,13100
1,33,50,49000
2,33,40,28500
2,33,32,10900
2,33,0,0
2,33,25,8100
2,33,40,45000
2,33,8,800
2,33,1,3000
2,33,40,18000
2,33,25,18450
2,33,40,21150
1,33,40,61000
1,33,40,29000
2,33,40,31600
2,33,0,0
1,33,50,90020
1,33,70,50000
2,33,40,11500
2,33,0,10000
2,33,40,5700
1,33,40,54000
2,33,40,78300
1,33,0,0
2,33,25,12350
2,33,40,19500
1,33,35,42000
1,33,40,90200
2,33,0,0
2,33,38,40000
1,33,40,34200
2,33,40,45000
2,33,50,27960
2,33,0,0
2,33,56,29000
1,33,0,8800
1,33,40,85000
1,33,40,32500
1,33,40,39000
2,33,40,47000
2,33,40,25500
1,33,40,21000
2,33,40,29500
2,33,0,0
1,33,35,19000
2,33,0,15500
2,33,40,25400
2,33,0,0
1,34,40,14600
1,34,40,9600
1,34,40,24000
2,34,40,25000
2,34,65,75000
2,34,40,28000
2,34,40,11000
1,34,40,35600
2,34,50,10000
2,34,0,6000
2,34,0,0
2,34,40,44000
1,34,50,323000
1,34,50,37000
1,34,48,63400
2,34,40,10100
1,34,37,34500
2,34,30,19000
1,34,42,30000
2,34,20,3000
2,34,45,6220
1,34,50,34050
1,34,50,62000
1,34,40,29000
1,34,0,0
2,34,43,35800
2,34,25,1800
1,34,40,24000
1,34,40,18500
1,34,40,23000
2,34,25,11700
2,34,16,1100
1,34,50,27000
2,34,10,8700
1,34,40,25500
1,34,50,58000
2,34,40,39000
1,34,45,15000
2,34,37,15000
2,34,7,9900
2,34,38,20980
1,34,50,25000
1,34,40,22000
2,34,40,23100
2,34,25,16000
2,34,35,29400
1,34,40,20200
2,34,25,12500
2,34,35,16200
1,34,40,31300
