q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Instructor
3,4,3,4,2,3,2,4,4,3,2,3,SamT
3,4,3,5,2,3,1,4,4,1,1,3,SamT
4,5,5,4,2,2,2,1,4,2,2,5,NickB
3,4,4,2,2,5,2,4,2,3,2,2,NickB
5,4,2,4,2,3,2,3,4,2,2,4,NickB
4,4,1,4,1,1,1,4,5,2,1,4,NickB
4,5,1,4,2,2,2,4,3,4,2,3,NickB
4,4,3,4,2,3,2,4,3,2,2,3,NickB
3,4,3,4,4,2,2,4,4,3,2,3,NickB
4,3,3,4,2,3,2,4,4,2,2,3,NickB
4,4,3,4,1,3,1,3,3,1,1,3,NickB
4,5,1,5,1,1,2,4,5,1,1,5,NickB
4,5,2,3,2,2,3,4,5,4,2,5,NickB
4,4,2,4,1,1,1,5,5,2,2,3,NickB
4,3,2,3,2,4,2,4,4,2,3,3,NickB
3,3,2,3,1,2,2,3,4,2,2,3,NickB
4,2,3,3,1,3,1,4,4,2,2,3,NickB
2,3,4,5,2,3,4,2,5,3,3,5,NickB
3,2,3,3,2,3,4,3,2,2,3,3,NickB
4,4,3,4,2,3,2,3,4,2,2,3,NickB
5,3,4,3,3,4,2,4,4,2,2,3,NickB
4,3,2,4,4,3,2,4,3,2,2,3,NickB
4,5,1,4,1,2,2,4,4,2,2,4,NickB
3,4,3,3,2,4,3,3,2,2,2,2,NickB
3,4,2,4,2,3,2,3,3,2,2,3,NickB
4,4,4,4,4,5,4,5,5,5,5,5,NickB
4,3,2,4,1,3,2,3,4,1,3,3,NickB
3,4,4,5,1,3,2,4,4,2,2,1,NickB
5,5,2,3,2,3,1,5,3,1,1,4,NickB
4,3,4,3,2,1,2,3,4,2,2,4,NickB
4,5,3,4,2,3,2,5,5,2,2,5,NickB
4,3,2,4,1,5,2,4,3,1,4,3,NickB
4,3,3,4,3,3,2,3,3,2,2,4,NickB
4,4,2,3,4,3,1,3,5,2,4,3,NickB
4,4,3,3,2,3,2,4,4,2,2,3,NickB
4,3,4,4,4,NA,3,4,5,3,4,4,NickB
5,4,2,4,2,3,2,4,4,2,2,3,NickB
3,4,2,3,1,2,3,2,5,1,1,4,NickB
4,4,2,4,2,2,2,4,4,2,2,4,NickB
5,5,1,5,1,1,1,5,5,1,1,5,NickB
4,5,1,4,4,1,1,4,4,4,5,4,NickB
3,4,5,3,4,3,3,4,3,2,2,2,NickB
4,3,2,3,1,3,2,3,4,2,2,3,NickB
5,5,2,4,1,4,1,4,4,1,1,2,NickB
5,5,4,4,4,5,4,4,4,4,4,4,NickB
4,4,3,3,4,3,2,3,3,1,2,2,NickB
4,3,4,4,3,2,2,3,4,2,4,4,NickB
