"room.x","group","midterm","Final","project","hw1","hw1ol","hw2","hw2ol","hw3","hw3ol","hw4","hw4ol","hw5","hw5ol","hw6","hw6ol","hw7","midtermwgt","projectwgt","quizwgt","finalwgt","hw1perc","hw2perc","hw3perc","hw4perc","hw5perc","hw6perc","hw7perc","hw8perc","hw9perc","hw10perc","hw11perc","hw12perc","hw13perc","hwtotalwgt","lab1perc","lab2perc","lab3perc","lab4perc","lab5perc","lab6perc","lab7perc","lab8perc","lab9perc","lab10perc","lab12perc","lab13perc","lab14perc","labtotalwgt","studyhwtotal","studylabtotal","studyhwcompleted","studylabcompleted","Consent","room.y","Section","NewGroup","AppliedCI","ConfMC","AppliedHT","HypMC","NormalDist","Exam","AppliedComb","CIComb","MCComb","HTComb"
"sweeney","DS 6",99,87,52,14.5,10,22.5,21,25,9,36,10,20,11,14,17,0,24.75,9.454545455,5,26.1,0.98,0.966666667,0.971428571,1,1,0.96875,0,1,1,0,0.98,0.954545455,1,14.75644185,0.983333333,0.88,1,0.9875,0.975,0.866666667,1.055555556,1,0.925,0.95,0.933333333,0.961538462,1,13.46407585,0.832414669,0.962917488,11,13,1,"Sweeney 1134","d",6,11,6,11,9,NA,87,22,17,15,20
"kildee","CK 6",89,87,48,13,10,23.5,19.57143,25,9,32.5,9,20,11,14,18,10,22.25,8.727272727,5,26.1,0.92,0.957142889,0.971428571,0.902173913,1,1,1,1,0,0.821428571,1,0.869565217,0.888888889,14.33072656,0.983333333,0.86,0.916666667,0.7875,0.9,0.916666667,1.027777778,1,0.866666667,0.958333333,0.888888889,0.966666667,1,14.26041667,0.871586773,0.927371795,12,13,1,"Kildee 0108","c",6,11,9,11,8,NA,87,22,20,17,19
"sweeney","CS 6",65,85,52.2,9.5,10,0,20,22,7,19,4,19,10,0,15,0,16.25,9.490909091,3.75,25.5,0.78,0.444444444,0.828571429,0.5,0.935483871,0.46875,0,0.884615385,0.785714286,0.583333333,0,0.795454545,1,10.91777358,0.95,0.94,0.933333333,0.875,0.9,0.916666667,1.111111111,0,0.9,0.9,0.85,0.91025641,1,12.9204594,0.615874407,0.860489809,11,12,1,"Sweeney 1134","c",6,12,10,9,7,NA,85,21,22,17,16
"sweeney","DS 5",66.5,68,52.667,14.5,8,19.5,21,20,9,21.5,7,17,9,11,16,10,16.625,9.575818182,5,20.4,0.9,0.9,0.828571429,0.619565217,0.838709677,0.84375,1,0.692307692,1,0.75,0.86,0.772727273,0.375,12.79918101,0.883333333,0.64,0.916666667,0.875,0.9625,0.933333333,0.944444444,1,0.95,0.9625,0.933333333,0.948717949,1,13.04353632,0.798510099,0.91921762,13,13,1,"Sweeney 1134","d",5,9,5,9,8,NA,6,18,14,13,17
"kildee","DK 5",89.5,78,46,15.5,9,18.5,19.57143,21,9,32.5,6,17,8,10,17,10,22.375,8.363636364,5,23.4,0.98,0.846031778,0.857142857,0.836956522,0.806451613,0.84375,1,0.94,0.942307692,0.946428571,1,0.934782609,1,14.03242296,0.933333333,0.78,0.95,0.7375,0.8,0.883333333,1,0.875,1,0.75,0.805555556,0.95,1,13.63819444,0.917988588,0.876773504,13,13,1,"Kildee 0108","d",5,12,7,9,7,NA,78,21,19,14,16
"kildee","DK 1",94,92,52,12.5,10,21,19.57143,24,9,32.5,6,20,11,12,18,0,23.5,9.454545455,5,27.6,0.9,0.901587333,0.942857143,0.836956522,1,0.9375,0,0.98,0.923076923,0.910714286,1,0.891304348,1,14.1641455,0.85,0.9,0.883333333,0.9375,0.85,0.883333333,1.055555556,0.9375,1,1,0.944444444,1,1,14.38541667,0.86338435,0.939102564,12,13,1,"Kildee 0108","d",1,11,10,10,9,NA,92,21,21,19,19
"sweeney","CS 1",48,47,50.4,0,8,19.5,20,24,9,0,0,18,9,0,0,0,12,9.163636364,5,14.1,0.32,0.877777778,0.942857143,0,0.870967742,0,0,0,0,0,0.65,0.409090909,0.5,6.232763961,1,0.9,0.95,0.9,0.95,0.966666667,1.055555556,0,0,1,0.933333333,0.974358974,1,13.28739316,0.351591813,0.817685733,7,11,1,"Sweeney 1134","c",1,9,4,7,4,NA,47,16,13,8,11
"kildee","DK 1",70,73,52,7,10,19,21,24,9,34.5,10,19,10,13.5,17,10,17.5,9.454545455,5,21.9,0.68,0.888888889,0.942857143,0.967391304,0.935483871,0.953125,1,0.86,1,0.839285714,1,0.945652174,0.666666667,14.09002377,0.85,0.9,0.883333333,0.9375,0.85,0.883333333,1.055555556,0.9375,1,1,0.944444444,1,1,14.38541667,0.898411597,0.939102564,13,13,1,"Kildee 0108","d",1,12,6,7,7,NA,73,19,18,13,14
"kildee","DK 6",91.5,85,49,16,10,22.5,21,21,9,29.5,10,20,10,14,18,10,22.875,8.909090909,5,25.5,1.04,0.966666667,0.857142857,0.858695652,0.967741935,1,1,0.96,0.826923077,0.75,1,0.967391304,1,14.47859784,0.983333333,0.88,1,0.9875,0.975,0.866666667,1.055555556,0.9375,1,0.9375,0.861111111,0.933333333,1,14.48715278,0.938043192,0.9475,13,13,1,"Kildee 0108","d",6,12,7,10,8,NA,85,22,19,15,18
"sweeney","DS 7",95,83,52,13,10,23.5,21,25,9,36,10,20,9,14,17,10,23.75,9.454545455,5,24.9,0.92,0.988888889,0.971428571,1,0.935483871,0.96875,1,1,1,0.944444444,0.98,0.954545455,1,14.73826004,0.983333333,0.88,1,0.9875,0.975,0.866666667,1.055555556,1,1,0.9875,0.933333333,0.987179487,1,13.63675214,0.974118556,0.973543721,13,13,1,"Sweeney 1134","d",7,11,9,11,4,NA,83,22,20,13,15
