"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-0.9,-0.9,16,16,839154.081206626,3829514.198366,0.219128076758321,"random","unif"
-0.8,-0.8,16,16,616254.979073105,3829514.198366,0.160922494904459,"standard","unif"
-0.8,-0.8,16,16,838900.709599898,3829514.198366,0.219061913899639,"random","unif"
-0.7,-0.7,16,16,617393.162236601,3829514.198366,0.161219708364062,"standard","unif"
-0.7,-0.7,16,16,837849.144503902,3829514.198366,0.218787318992419,"random","unif"
-0.6,-0.6,16,16,618729.737399411,3829514.198366,0.161568727872432,"standard","unif"
-0.6,-0.6,16,16,836173.083258453,3829514.198366,0.218349649575718,"random","unif"
-0.5,-0.5,16,16,620261.879813316,3829514.198366,0.161968815803836,"standard","unif"
-0.5,-0.5,16,16,834161.224116551,3829514.198366,0.21782429334574,"random","unif"
-0.4,-0.4,16,16,621986.64767818,3829514.198366,0.162419203966804,"standard","unif"
-0.4,-0.4,16,16,833000.182404619,3829514.198366,0.217521110839607,"random","unif"
-0.3,-0.3,16,16,623901.237481215,3829514.198366,0.162919160280807,"standard","unif"
-0.3,-0.3,16,16,830304.469561319,3829514.198366,0.216817180078768,"random","unif"
-0.2,-0.2,16,16,626003.17263425,3829514.198366,0.163468038035048,"standard","unif"
-0.2,-0.2,16,16,827032.913128361,3829514.198366,0.21596287943814,"random","unif"
-0.1,-0.1,16,16,628290.4267099,3829514.198366,0.164065308069097,"standard","unif"
-0.1,-0.1,16,16,827045.132353784,3829514.198366,0.215966070241148,"random","unif"
0,0,16,16,630761.49494318,3829514.198366,0.164710577444083,"standard","unif"
0,0,16,16,825182.878375062,3829514.198366,0.215479780366699,"random","unif"
-1,-1,18,18,670970.958343402,3829514.198366,0.175210463674399,"standard","unif"
-1,-1,18,18,893957.985537748,3829514.198366,0.233439005375457,"random","unif"
-0.9,-0.9,18,18,672142.74740056,3829514.198366,0.175516452631865,"standard","unif"
-0.9,-0.9,18,18,898304.873128143,3829514.198366,0.234574106948458,"random","unif"
-0.8,-0.8,18,18,673491.19987327,3829514.198366,0.175868573658935,"standard","unif"
-0.8,-0.8,18,18,899632.638090656,3829514.198366,0.234920825851623,"random","unif"
-0.7,-0.7,18,18,675016.696170956,3829514.198366,0.17626692609182,"standard","unif"
-0.7,-0.7,18,18,900298.097958638,3829514.198366,0.235094597205771,"random","unif"
-0.6,-0.6,18,18,676720.134304756,3829514.198366,0.176711744427923,"standard","unif"
-0.6,-0.6,18,18,904451.268624213,3829514.198366,0.236179113530935,"random","unif"
-0.5,-0.5,18,18,678602.85826254,3829514.198366,0.177203379622431,"standard","unif"
-0.5,-0.5,18,18,906686.222126888,3829514.198366,0.236762726330603,"random","unif"
-0.4,-0.4,18,18,680666.536395344,3829514.198366,0.177742267331395,"standard","unif"
-0.4,-0.4,18,18,905593.83239279,3829514.198366,0.236477470896751,"random","unif"
-0.3,-0.3,18,18,682912.976687356,3829514.198366,0.178328879673235,"standard","unif"
-0.3,-0.3,18,18,908122.297013024,3829514.198366,0.237137728174636,"random","unif"
-0.2,-0.2,18,18,685343.877701178,3829514.198366,0.17896366019314,"standard","unif"
-0.2,-0.2,18,18,912895.39442691,3829514.198366,0.238384125802805,"random","unif"
-0.1,-0.1,18,18,687960.536648456,3829514.198366,0.179646947631634,"standard","unif"
-0.1,-0.1,18,18,910568.010913191,3829514.198366,0.237776376779519,"random","unif"
0,0,18,18,690763.56346618,3829514.198366,0.180378901261397,"standard","unif"
0,0,18,18,912073.542701814,3829514.198366,0.238169515885587,"random","unif"
-1,-1,20,20,763314.613459359,3829514.198366,0.199324137193447,"standard","unif"
-1,-1,20,20,993953.949470568,3829514.198366,0.259550924212443,"random","unif"
-0.9,-0.9,20,20,763370.450148459,3829514.198366,0.19933871781287,"standard","unif"
-0.9,-0.9,20,20,994951.296716235,3829514.198366,0.259811361227167,"random","unif"
-0.8,-0.8,20,20,763593.280337277,3829514.198366,0.199396905399409,"standard","unif"
-0.8,-0.8,20,20,993460.920390829,3829514.198366,0.259422179663082,"random","unif"
-0.7,-0.7,20,20,763982.154964151,3829514.198366,0.199498452124849,"standard","unif"
-0.7,-0.7,20,20,990276.883344681,3829514.198366,0.258590732936104,"random","unif"
-0.6,-0.6,20,20,764535.645328149,3829514.198366,0.199642984912908,"standard","unif"
-0.6,-0.6,20,20,992700.978420447,3829514.198366,0.259223736223257,"random","unif"
-0.5,-0.5,20,20,765252.043933158,3829514.198366,0.199830057885588,"standard","unif"
-0.5,-0.5,20,20,991553.466554958,3829514.198366,0.258924086762242,"random","unif"
-0.4,-0.4,20,20,766129.569494383,3829514.198366,0.200059205896476,"standard","unif"
-0.4,-0.4,20,20,990049.121730746,3829514.198366,0.258531257607867,"random","unif"
-0.3,-0.3,20,20,767166.541504014,3829514.198366,0.200329990115026,"standard","unif"
-0.3,-0.3,20,20,988617.083361831,3829514.198366,0.258157309818478,"random","unif"
-0.2,-0.2,20,20,768361.509202273,3829514.198366,0.200642031704732,"standard","unif"
-0.2,-0.2,20,20,987345.1546812,3829514.198366,0.257825171428398,"random","unif"
-0.1,-0.1,20,20,769713.335866078,3829514.198366,0.200995033833405,"standard","unif"
-0.1,-0.1,20,20,987305.262255026,3829514.198366,0.257814754330012,"random","unif"
0,0,20,20,771221.247785286,3829514.198366,0.201388794462325,"standard","unif"
0,0,20,20,985019.663999157,3829514.198366,0.257217916679732,"random","unif"
-1,-1,2,2,0,1409246.91333978,0,"standard","norm"
-1,-1,2,2,0,1409246.91333978,0,"random","norm"
-0.9,-0.9,2,2,14142.135623731,1409246.91333978,0.0100352432848091,"standard","norm"
-0.9,-0.9,2,2,31449.7455549997,1409246.91333978,0.0223167035224982,"random","norm"
-0.8,-0.8,2,2,28284.2712474623,1409246.91333978,0.0200704865696184,"standard","norm"
-0.8,-0.8,2,2,57759.3453583297,1409246.91333978,0.0409859654909198,"random","norm"
-0.7,-0.7,2,2,42426.4068711925,1409246.91333978,0.0301057298544269,"standard","norm"
-0.7,-0.7,2,2,79624.9347106709,1409246.91333978,0.0565017627194707,"random","norm"
-0.6,-0.6,2,2,56568.5424949237,1409246.91333978,0.0401409731392361,"standard","norm"
-0.6,-0.6,2,2,98079.4255232922,1409246.91333978,0.0695970483205481,"random","norm"
-0.5,-0.5,2,2,70710.6781186548,1409246.91333978,0.0501762164240453,"standard","norm"
-0.5,-0.5,2,2,112159.460901732,1409246.91333978,0.0795882253422324,"random","norm"
-0.4,-0.4,2,2,84852.8137423858,1409246.91333978,0.0602114597088544,"standard","norm"
-0.4,-0.4,2,2,123445.86604871,1409246.91333978,0.0875970455426826,"random","norm"
-0.3,-0.3,2,2,98994.949366117,1409246.91333978,0.0702467029936636,"standard","norm"
-0.3,-0.3,2,2,131476.580732757,1409246.91333978,0.093295631509435,"random","norm"
-0.2,-0.2,2,2,113137.084989847,1409246.91333978,0.0802819462784721,"standard","norm"
-0.2,-0.2,2,2,137117.419200415,1409246.91333978,0.0972983640428629,"random","norm"
-0.1,-0.1,2,2,127279.220613578,1409246.91333978,0.0903171895632814,"standard","norm"
-0.1,-0.1,2,2,140320.198119908,1409246.91333978,0.0995710523057752,"random","norm"
0,0,2,2,141421.35623731,1409246.91333978,0.100352432848091,"standard","norm"
0,0,2,2,141421.35623731,1409246.91333978,0.100352432848091,"random","norm"
-1,-1,4,4,141421.35623731,1409246.91333978,0.100352432848091,"standard","norm"
-1,-1,4,4,222980.460776508,1409246.91333978,0.158226680268588,"random","norm"
-0.9,-0.9,4,4,141763.279298967,1409246.91333978,0.100595061062083,"standard","norm"
-0.9,-0.9,4,4,222610.391869369,1409246.91333978,0.157964079794791,"random","norm"
-0.8,-0.8,4,4,142802.425951737,1409246.91333978,0.101332438339927,"standard","norm"
-0.8,-0.8,4,4,220889.655784539,1409246.91333978,0.156743047434499,"random","norm"
-0.7,-0.7,4,4,144509.118237034,1409246.91333978,0.102543505236113,"standard","norm"
-0.7,-0.7,4,4,218038.522792292,1409246.91333978,0.154719886719895,"random","norm"
-0.6,-0.6,4,4,146838.322171006,1409246.91333978,0.104196305687137,"standard","norm"
-0.6,-0.6,4,4,215433.654440674,1409246.91333978,0.152871475112985,"random","norm"
-0.5,-0.5,4,4,149734.930696078,1409246.91333978,0.10625173578789,"standard","norm"
-0.5,-0.5,4,4,210410.098280204,1409246.91333978,0.14930676539965,"random","norm"
-0.4,-0.4,4,4,153139.118857524,1409246.91333978,0.108667343818834,"standard","norm"
-0.4,-0.4,4,4,204696.800953036,1409246.91333978,0.14525261614228,"random","norm"
-0.3,-0.3,4,4,156990.833523394,1409246.91333978,0.111400516146131,"standard","norm"
-0.3,-0.3,4,4,197873.857267721,1409246.91333978,0.140411063096656,"random","norm"
-0.2,-0.2,4,4,161232.992503078,1409246.91333978,0.114410747312528,"standard","norm"
-0.2,-0.2,4,4,189666.945540905,1409246.91333978,0.134587447909616,"random","norm"
-0.1,-0.1,4,4,165813.398117009,1409246.91333978,0.117660997904226,"standard","norm"
-0.1,-0.1,4,4,180430.680213327,1409246.91333978,0.128033404583249,"random","norm"
0,0,4,4,170685.610009436,1409246.91333978,0.12111831389783,"standard","norm"
0,0,4,4,170685.610009436,1409246.91333978,0.12111831389783,"random","norm"
-1,-1,6,6,214257.46376188,1409246.91333978,0.152036851550811,"standard","norm"
-1,-1,6,6,289301.711575746,1409246.91333978,0.205288164080579,"random","norm"
-0.9,-0.9,6,6,216036.344839,1409246.91333978,0.153299143531217,"standard","norm"
-0.9,-0.9,6,6,295981.816194657,1409246.91333978,0.210028358687838,"random","norm"
-0.8,-0.8,6,6,218195.879377695,1409246.91333978,0.154831546773156,"standard","norm"
-0.8,-0.8,6,6,301321.984370445,1409246.91333978,0.213817735925594,"random","norm"
-0.7,-0.7,6,6,220741.689238252,1409246.91333978,0.156638050542268,"standard","norm"
-0.7,-0.7,6,6,306052.579558926,1409246.91333978,0.21717456086784,"random","norm"
-0.6,-0.6,6,6,223682.848390165,1409246.91333978,0.158725093716939,"standard","norm"
-0.6,-0.6,6,6,310764.20662415,1409246.91333978,0.220517926051488,"random","norm"
-0.5,-0.5,6,6,227031.32088776,1409246.91333978,0.161101165976456,"standard","norm"
-0.5,-0.5,6,6,313328.563621131,1409246.91333978,0.22233759084742,"random","norm"
-0.4,-0.4,6,6,230800.984882002,1409246.91333978,0.163776115240888,"standard","norm"
-0.4,-0.4,6,6,316384.744425339,1409246.91333978,0.224506253255177,"random","norm"
-0.3,-0.3,6,6,235006.133834769,1409246.91333978,0.166760084134459,"standard","norm"
-0.3,-0.3,6,6,318165.520253899,1409246.91333978,0.225769889749041,"random","norm"
-0.2,-0.2,6,6,239659.445363237,1409246.91333978,0.170062068679836,"standard","norm"
-0.2,-0.2,6,6,319733.741131328,1409246.91333978,0.226882697492371,"random","norm"
-0.1,-0.1,6,6,244769.595910922,1409246.91333978,0.173688225671427,"standard","norm"
-0.1,-0.1,6,6,320521.309073672,1409246.91333978,0.227441554804663,"random","norm"
0,0,6,6,250338.926358285,1409246.91333978,0.177640216195333,"standard","norm"
0,0,6,6,321006.845566744,1409246.91333978,0.227786090945545,"random","norm"
-1,-1,8,8,299528.946471291,1409246.91333978,0.212545398280444,"standard","norm"
-1,-1,8,8,423423.293425155,1409246.91333978,0.300460685361149,"random","norm"
-0.9,-0.9,8,8,299762.421885996,1409246.91333978,0.212711072168033,"standard","norm"
-0.9,-0.9,8,8,423660.481989821,1409246.91333978,0.300628994095708,"random","norm"
-0.8,-0.8,8,8,300388.042312561,1409246.91333978,0.213155011708111,"standard","norm"
-0.8,-0.8,8,8,423744.886345302,1409246.91333978,0.300688887329947,"random","norm"
