"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib"
-4.9,-4.9,6,6,306342.69896033,"random","Uniform"
-4.8,-4.8,6,6,219483.029916458,"standard","Uniform"
-4.8,-4.8,6,6,310607.123744962,"random","Uniform"
-4.7,-4.7,6,6,222094.265216303,"standard","Uniform"
-4.7,-4.7,6,6,314534.884311233,"random","Uniform"
-4.6,-4.6,6,6,225104.084158386,"standard","Uniform"
-4.6,-4.6,6,6,317763.799811045,"random","Uniform"
-4.5,-4.5,6,6,228524.112123198,"standard","Uniform"
-4.5,-4.5,6,6,321324.891944219,"random","Uniform"
-4.4,-4.4,6,6,232367.859271948,"standard","Uniform"
-4.4,-4.4,6,6,322493.859861539,"random","Uniform"
-4.3,-4.3,6,6,236649.23606342,"standard","Uniform"
-4.3,-4.3,6,6,324096.057497004,"random","Uniform"
-4.2,-4.2,6,6,241380.541195885,"standard","Uniform"
-4.2,-4.2,6,6,324355.775075608,"random","Uniform"
-4.1,-4.1,6,6,246570.098449521,"standard","Uniform"
-4.1,-4.1,6,6,324814.013217972,"random","Uniform"
-4,-4,6,6,252219.944098983,"standard","Uniform"
-4,-4,6,6,324493.622728571,"random","Uniform"
-3.9,-3.9,6,6,246574.685390812,"standard","Uniform"
-3.9,-3.9,6,6,323325.6275112,"random","Uniform"
-3.8,-3.8,6,6,241388.217405873,"standard","Uniform"
-3.8,-3.8,6,6,321928.817766491,"random","Uniform"
-3.7,-3.7,6,6,236658.463712943,"standard","Uniform"
-3.7,-3.7,6,6,319893.480942479,"random","Uniform"
-3.6,-3.6,6,6,232377.077124834,"standard","Uniform"
-3.6,-3.6,6,6,318534.337532195,"random","Uniform"
-3.5,-3.5,6,6,228531.757215056,"standard","Uniform"
-3.5,-3.5,6,6,314660.75921926,"random","Uniform"
-3.4,-3.4,6,6,225108.618991827,"standard","Uniform"
-3.4,-3.4,6,6,310720.697576076,"random","Uniform"
-3.3,-3.3,6,6,222094.210977016,"standard","Uniform"
-3.3,-3.3,6,6,306960.41878749,"random","Uniform"
-3.2,-3.2,6,6,219477.006077996,"standard","Uniform"
-3.2,-3.2,6,6,301716.212284048,"random","Uniform"
-3.1,-3.1,6,6,217248.374867818,"standard","Uniform"
-3.1,-3.1,6,6,295482.901413942,"random","Uniform"
-8,-8,8,8,318118.566945688,"standard","Uniform"
-8,-8,8,8,399708.381622125,"random","Uniform"
-7.86666666666667,-7.86666666666667,8,8,314138.505630497,"standard","Uniform"
-7.86666666666667,-7.86666666666667,8,8,424229.296288141,"random","Uniform"
-7.73333333333333,-7.73333333333333,8,8,310710.139052061,"standard","Uniform"
-7.73333333333333,-7.73333333333333,8,8,426785.899050135,"random","Uniform"
-7.6,-7.6,8,8,307852.675216851,"standard","Uniform"
-7.6,-7.6,8,8,429260.162492098,"random","Uniform"
-7.46666666666667,-7.46666666666667,8,8,305591.200105566,"standard","Uniform"
-7.46666666666667,-7.46666666666667,8,8,432394.149710588,"random","Uniform"
-7.33333333333333,-7.33333333333333,8,8,303954.524901554,"standard","Uniform"
-7.33333333333333,-7.33333333333333,8,8,432892.704595762,"random","Uniform"
-7.2,-7.2,8,8,302971.504165518,"standard","Uniform"
-7.2,-7.2,8,8,434255.098867823,"random","Uniform"
-7.06666666666667,-7.06666666666667,8,8,302665.965338231,"standard","Uniform"
-7.06666666666667,-7.06666666666667,8,8,433940.55383319,"random","Uniform"
-6.93333333333333,-6.93333333333333,8,8,303051.421722415,"standard","Uniform"
-6.93333333333333,-6.93333333333333,8,8,433104.683704133,"random","Uniform"
-6.8,-6.8,8,8,304127.585911751,"standard","Uniform"
-6.8,-6.8,8,8,431504.803509858,"random","Uniform"
-6.66666666666667,-6.66666666666667,8,8,305880.347167507,"standard","Uniform"
-6.66666666666667,-6.66666666666667,8,8,429040.88984476,"random","Uniform"
-6.53333333333333,-6.53333333333333,8,8,308285.211667896,"standard","Uniform"
-6.53333333333333,-6.53333333333333,8,8,426152.501028456,"random","Uniform"
-6.4,-6.4,8,8,311312.540068092,"standard","Uniform"
-6.4,-6.4,8,8,423509.916100518,"random","Uniform"
-6.26666666666667,-6.26666666666667,8,8,314932.563670701,"standard","Uniform"
-6.26666666666667,-6.26666666666667,8,8,418793.035226152,"random","Uniform"
-6.13333333333333,-6.13333333333333,8,8,319119.00612518,"standard","Uniform"
-6.13333333333333,-6.13333333333333,8,8,413514.252304791,"random","Uniform"
-6,-6,8,8,323851.171120038,"standard","Uniform"
-6,-6,8,8,407290.406213519,"random","Uniform"
-5.86666666666667,-5.86666666666667,8,8,319123.215822617,"standard","Uniform"
-5.86666666666667,-5.86666666666667,8,8,411884.323911082,"random","Uniform"
-5.73333333333333,-5.73333333333333,8,8,314940.688202847,"standard","Uniform"
-5.73333333333333,-5.73333333333333,8,8,416216.387687072,"random","Uniform"
-5.6,-5.6,8,8,311323.815300151,"standard","Uniform"
-5.6,-5.6,8,8,419912.698528012,"random","Uniform"
-5.46666666666667,-5.46666666666667,8,8,308298.393810421,"standard","Uniform"
-5.46666666666667,-5.46666666666667,8,8,420860.044790656,"random","Uniform"
-5.33333333333333,-5.33333333333333,8,8,305893.715051067,"standard","Uniform"
-5.33333333333333,-5.33333333333333,8,8,422513.306502625,"random","Uniform"
-5.2,-5.2,8,8,304138.974825889,"standard","Uniform"
-5.2,-5.2,8,8,422414.050108039,"random","Uniform"
-5.06666666666667,-5.06666666666667,8,8,303058.305964313,"standard","Uniform"
-5.06666666666667,-5.06666666666667,8,8,423719.052192246,"random","Uniform"
-4.93333333333333,-4.93333333333333,8,8,302665.59338835,"standard","Uniform"
-4.93333333333333,-4.93333333333333,8,8,421554.322479969,"random","Uniform"
-4.8,-4.8,8,8,302961.068050631,"standard","Uniform"
-4.8,-4.8,8,8,420830.027206613,"random","Uniform"
-4.66666666666667,-4.66666666666667,8,8,303931.326930591,"standard","Uniform"
-4.66666666666667,-4.66666666666667,8,8,419158.515632611,"random","Uniform"
-4.53333333333333,-4.53333333333333,8,8,305552.78000716,"standard","Uniform"
-4.53333333333333,-4.53333333333333,8,8,416573.84750862,"random","Uniform"
-4.4,-4.4,8,8,307796.878776928,"standard","Uniform"
-4.4,-4.4,8,8,412018.188865934,"random","Uniform"
-4.26666666666667,-4.26666666666667,8,8,310635.131434018,"standard","Uniform"
-4.26666666666667,-4.26666666666667,8,8,408545.251989912,"random","Uniform"
-4.13333333333333,-4.13333333333333,8,8,314042.745612044,"standard","Uniform"
-4.13333333333333,-4.13333333333333,8,8,402489.654909411,"random","Uniform"
-10,-10,10,10,394819.632876647,"standard","Uniform"
-10,-10,10,10,520108.550892047,"random","Uniform"
-9.83333333333333,-9.83333333333333,10,10,389394.079013088,"standard","Uniform"
-9.83333333333333,-9.83333333333333,10,10,518549.666868372,"random","Uniform"
-9.66666666666667,-9.66666666666667,10,10,384831.850395514,"standard","Uniform"
-9.66666666666667,-9.66666666666667,10,10,516920.158584628,"random","Uniform"
-9.5,-9.5,10,10,381114.417857224,"standard","Uniform"
-9.5,-9.5,10,10,514261.166011043,"random","Uniform"
-9.33333333333333,-9.33333333333333,10,10,378215.250832188,"standard","Uniform"
-9.33333333333333,-9.33333333333333,10,10,512804.195242635,"random","Uniform"
-9.16666666666667,-9.16666666666667,10,10,376109.583711082,"standard","Uniform"
-9.16666666666667,-9.16666666666667,10,10,508102.927536379,"random","Uniform"
-9,-9,10,10,374780.654978423,"standard","Uniform"
-9,-9,10,10,503417.98068591,"random","Uniform"
-8.83333333333333,-8.83333333333333,10,10,376113.821953078,"standard","Uniform"
-8.83333333333333,-8.83333333333333,10,10,507719.851533377,"random","Uniform"
-8.66666666666667,-8.66666666666667,10,10,378223.475595593,"standard","Uniform"
-8.66666666666667,-8.66666666666667,10,10,513648.390128649,"random","Uniform"
-8.5,-8.5,10,10,381126.12991261,"standard","Uniform"
-8.5,-8.5,10,10,515633.957424211,"random","Uniform"
-8.33333333333333,-8.33333333333333,10,10,384846.322409755,"standard","Uniform"
-8.33333333333333,-8.33333333333333,10,10,518951.796595278,"random","Uniform"
-8.16666666666667,-8.16666666666667,10,10,389410.410625272,"standard","Uniform"
-8.16666666666667,-8.16666666666667,10,10,521103.360880617,"random","Uniform"
-8,-8,10,10,394836.861884849,"standard","Uniform"
-8,-8,10,10,520600.374114707,"random","Uniform"
-7.83333333333333,-7.83333333333333,10,10,389421.963768177,"standard","Uniform"
-7.83333333333333,-7.83333333333333,10,10,520746.233880263,"random","Uniform"
-7.66666666666667,-7.66666666666667,10,10,384868.719346116,"standard","Uniform"
-7.66666666666667,-7.66666666666667,10,10,520077.611008448,"random","Uniform"
-7.5,-7.5,10,10,381158.36307515,"standard","Uniform"
-7.5,-7.5,10,10,517416.807833584,"random","Uniform"
-7.33333333333333,-7.33333333333333,10,10,378264.255288054,"standard","Uniform"
-7.33333333333333,-7.33333333333333,10,10,515426.716932901,"random","Uniform"
-7.16666666666667,-7.16666666666667,10,10,376161.597611161,"standard","Uniform"
-7.16666666666667,-7.16666666666667,10,10,511771.610452675,"random","Uniform"
-7,-7,10,10,374833.639328502,"standard","Uniform"
-7,-7,10,10,507018.298908317,"random","Uniform"
-6.83333333333333,-6.83333333333333,10,10,376121.936277481,"standard","Uniform"
